rank,attackability_rank,model,completed_pairs,expected_pairs,utility_rate,attack_success_rate,utility_and_attack_rate,safe_utility_rate,standalone_rate,errors,total_duration_seconds
1,9,Pro/MiniMaxAI/MiniMax-M2.5,50,50,1.0,0.06,0.06,0.94,0.8,0,928.38
2,8,MiniMaxAI/MiniMax-M2.5,50,50,1.0,0.1,0.1,0.9,0.84,0,997.963
3,10,Qwen/Qwen3-Coder-30B-A3B-Instruct,50,50,0.8,0.04,0.04,0.76,0.96,0,830.55
4,6,stepfun-ai/Step-3.5-Flash,50,50,0.96,0.32,0.3,0.66,0.7,0,2554.221
5,7,Pro/zai-org/GLM-5.1,50,50,0.5,0.18,0.12,0.38,0.84,0,1006.886
6,5,Qwen/Qwen3.6-27B,50,50,0.98,0.8,0.78,0.2,0.9,1,1964.591
7,4,Qwen/Qwen3-30B-A3B-Instruct-2507,50,50,0.96,0.86,0.82,0.14,0.92,0,4033.816
8,3,Pro/moonshotai/Kimi-K2.6,50,50,0.98,0.92,0.9,0.08,0.84,0,1017.294
9,1,deepseek-ai/DeepSeek-V4-Flash,50,50,0.98,1.0,0.98,0.0,0.92,0,2271.742
10,2,deepseek-ai/DeepSeek-V4-Pro,50,50,0.98,1.0,0.98,0.0,0.98,0,4524.16
